Produto,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Base Charmat champanha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,254.000,865.858,479.625,624.728,376.968,1.466.259,250.280,893.364,1.746.540,1.188.095,2.487.939,-,4.078.766,5.418.118
Bebida de uva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.082.700,420,7.900,-,-,4.260,3.860,922,3.474,-,-,-,-,2.000,-,1.627
Polpa de uva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,890.562,1.350.672,1.006.000,1.083.202,1.188.260,1.352.417,1.951.606,2.480.120,2.797.665,1.742.152,2.484.000,2.371.140,1.620.430,2.507.125,2.112.683,1.480.269,1.803.472,1.180.578,387.886,1.388.251
Mosto simples,7.170.736,7.646.774,6.051.822,21.779.327,41.346.735,48.185.206,18.220.527,22.097.156,40.052.456,34.318.456,37.553.414,48.762.185,37.506.770,27.314.628,17.331.744,10.637.557,7.031.320,7.821.040,16.544.460,8.141.100,13.307.690,17.407.568,27.491.540,17.218.000,10.972.700,20.917.600,12.111.372,19.066.000,11.046.570,14.359.734,16.192.018,6.977.231,12.875.000,13.172.480,26.067.525,22.429.791,25.903.812,37.558.010,53.683.415,53.418.555,45.912.040,77.285.998,93.341.575,58.517.506,57.582.195,100.911.592,49.770.993,101.010.116,88.910.980,135.614.344,80.355.474,153.579.926,126.048.241,157.848.983
Mosto concentrado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,354.707,295.800,400.500,384.200,732.470,1.098.250,921.400,288.900,355.100,335.500,265.000,292.000,490.000,381.000,411.354,-,-,-,-,-,83.116,-,110.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mosto de uva com bagaço,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.037.600,-,-,-,-,-,772.110,-,645.816,3.078.256,618.764,-,7.784
Mosto dessulfitado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.000,5.000,1.532.000,-,-
Mistelas,1.072.100,818.400,871.200,512.900,826.300,223.000,205.500,553.200,242.150,60.300,-,-,-,-,-,-,378.400,402.600,196.000,32.000,149.000,-,-,-,-,-,-,-,-,-,33.000,15.000,-,5.500,11.500,9.960,-,1.900,2.000,3.500,-,-,200,2.500,1.000,-,-,1.500,2.000,3.000,-,2.500,-,600
Néctar de uva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.000,1.140,1.000,-,3.000,-,32.519,46.000,18.187,-,70.976
Licorosos,282.500,270.000,254.600,176.500,135.000,24.000,4.400,525.000,479.971,34.000,-,-,-,-,-,-,-,-,3.000,20.000,24.300,11.500,7.800,-,-,-,-,-,-,44.740,21.000,4.000,-,34.420,-,-,-,-,-,38.000,-,-,26.775,-,-,-,-,110.820,-,-,-,-,-,-
